"ID","Reservatorio","Municipio","Bacia","Status","Problemas","Alertas","Data_inicio_niveis","Data_fim_niveis","Registros_niveis","Datas_duplicadas_niveis","Cotas_ausentes","Tem_retiradas","Tem_precipitacao","Tem_CAV","Tem_vertedor","Tem_evaporacao","Tem_comporta","Tem_transferencia","Arquivo","Tamanho_bytes"
34,"Cupim","Independência","9","pronto","","291 data(s) duplicada(s) nos niveis",1992-01-01,2026-04-23,8653,291,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0034.rds",138854
197,"Curral Velho","Morada Nova","3","pronto","","307 data(s) duplicada(s) nos niveis",2007-09-04,2026-04-23,6974,307,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0197.rds",134727
178,"Desterro","Caridade","8","pronto","","",2000-07-01,2025-09-05,8722,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0178.rds",152148
60,"Diamante","Coreaú","7","pronto","","143 data(s) duplicada(s) nos niveis",1992-06-01,2026-04-23,8193,143,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0060.rds",158065
215,"Diamantino II","Marco","7","pronto","","",2015-06-10,2026-04-23,3961,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0215.rds",99654
134,"Do Coronel","Antonina do Norte","1","pronto","","",1998-07-01,2025-07-29,7484,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0134.rds",139257
5,"Edson Queiroz","Santa Quitéria","6","pronto","","204 data(s) duplicada(s) nos niveis",1989-01-01,2026-04-23,13208,204,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0005.rds",191524
30,"Ema","Iracema","4","pronto","","372 data(s) duplicada(s) nos niveis",1986-01-01,2026-04-23,14740,372,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0030.rds",173914
44,"Escuridão","Canindé","8","pronto","","",1992-03-27,2025-09-05,5048,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0044.rds",115114
208,"Facundo","Parambu","1","pronto","","",2013-11-01,2026-04-23,4537,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0208.rds",98579
239,"Faé","Quixelô","1","pronto","","318 data(s) duplicada(s) nos niveis",2005-03-02,2026-04-23,7746,318,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0239.rds",137425
59,"Farias de Sousa","Nova Russas","6","pronto","","290 data(s) duplicada(s) nos niveis",1987-01-01,2026-04-23,12300,290,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0059.rds",159489
6,"Favelas","Tauá","1","pronto","","",1989-01-01,2025-09-08,11431,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0006.rds",163058
212,"Figueiredo","Alto Santo","4","pronto","","",2013-04-20,2026-04-23,4695,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0212.rds",110971
172,"Flor do Campo","Novo Oriente","9","pronto","","374 data(s) duplicada(s) nos niveis",1999-03-31,2026-04-23,9563,374,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"reservatorios/reservatorio_0172.rds",158159
