2016a202Edson   Queiroz Braco          1,       EngRev,     0.87
JDAY    Cin (mg/L)
----    PO4     CLO     DO
     432    0.32      90       8
     433    0.48      90       8
     434    0.48      90       8
     435    0.31      90       8
     436    0.33      90       8
     437    0.30      90       8
     438    0.29      90       8
     439    0.47      90       8
     440    0.35      90       8
     441    0.37      90       8
     442    0.35      90       8
     443    0.30      90       8
     444    0.28      90       8
     445    0.29      90       8
     446    0.27      90       8
     447    0.29      90       8
     448    0.39      90       8
     449    0.38      90       8
     450    0.29      90       8
     451    0.27      90       8
     452    0.27      90       8
     453    0.27      90       8
     454    0.27      90       8
     455    0.27      90       8
     456    0.28      90       8
     457    0.28      90       8
     458    0.28      90       8
     459    0.27      90       8
     460    0.31      90       8
     461    0.35      90       8
     462    1.03      90       8
     463    0.46      90       8
     464    0.46      90       8
     465    0.46      90       8
     466    0.31      90       8
     467    1.02      90       8
     468    0.46      90       8
     469    0.35      90       8
     470    0.29      90       8
     471    0.35      90       8
     472    0.46      90       8
     473    1.02      90       8
     474    1.02      90       8
     475    0.46      90       8
     476    0.46      90       8
     477    1.02      90       8
     478    0.46      90       8
     479    0.46      90       8
     480    0.46      90       8
     481    1.02      90       8
     482    1.02      90       8
     483    1.02      90       8
     484    1.02      90       8
     485    0.00      90       8
     486    1.02      90       8
     487    1.02      90       8
     488    1.02      90       8
     489    1.02      90       8
     490    1.02      90       8
     491    1.02      90       8
     492    1.02      90       8
     493    0.00      90       8
     494    1.03      90       8
     495    1.03      90       8
     496    0.00      90       8
     497    1.03      90       8
     498    0.00      90       8
     499    1.03      90       8
     500    1.03      90       8
     501    0.00      90       8
     502    1.03      90       8
     503    0.00      90       8
     504    1.03      90       8
     505    0.00      90       8
     506    1.03      90       8
     507    0.00      90       8
     508    0.00      90       8
     509    0.00      90       8
     510    0.00      90       8
     511    0.00      90       8
     512    1.03      90       8
     513    0.00      90       8
     514    0.46      90       8
     515    1.03      90       8
     516    1.03      90       8
     517    1.03      90       8
     518    0.00      90       8
     519    0.00      90       8
     520    0.95      90       8
     521    0.00      90       8
     522    0.00      90       8
     523    0.96      90       8
     524    0.00      90       8
     525    0.00      90       8
     526    0.96      90       8
     527    0.00      90       8
     528    0.96      90       8
     529    0.96      90       8
     530    0.00      90       8
     531    0.96      90       8
     532    0.00      90       8
     533    0.96      90       8
     534    0.00      90       8
     535    0.96      90       8
     536    0.00      90       8
     537    0.96      90       8
     538    0.00      90       8
     539    0.96      90       8
     540    0.00      90       8
     541    0.00      90       8
     542    0.00      90       8
     543    0.00      90       8
     544    0.00      90       8
     545    0.00      90       8
     546    0.97      90       8
     547    0.00      90       8
     548    0.00      90       8
     549    0.00      90       8
     550    0.00      90       8
     551    0.82      90       8
     552    0.82      90       8
     553    0.00      90       8
     554    0.00      90       8
     555    0.83      90       8
     556    0.00      90       8
     557    0.83      90       8
     558    0.83      90       8
     559    0.00      90       8
     560    0.83      90       8
     561    0.83      90       8
     562    0.00      90       8
     563    0.00      90       8
     564    0.81      90       8
     565    0.81      90       8
     566    0.81      90       8
     567    0.81      90       8
     568    0.44      90       8
     569    0.81      90       8
     570    0.81      90       8
     571    0.81      90       8
     572    0.81      90       8
     573    0.44      90       8
     574    0.81      90       8
     575    0.00      90       8
     576    0.81      90       8
     577    0.81      90       8
     578    0.81      90       8
     579    0.73      90       8
     580    0.73      90       8
     581    0.00      90       8
     582    0.00      90       8
     583    0.00      90       8
     584    0.00      90       8
     585    0.00      90       8
     586    0.00      90       8
     587    0.00      90       8
     588    0.00      90       8
     589    0.00      90       8
     590    0.00      90       8
     591    0.00      90       8
     592    0.00      90       8
     593    0.00      90       8
     594    0.00      90       8
     595    0.00      90       8
     596    0.00      90       8
     597    0.00      90       8
     598    0.00      90       8
     599    0.00      90       8
     600    0.00      90       8
     601    0.71      90       8
     602    0.00      90       8
     603    0.79      90       8
     604    0.79      90       8
     605    0.00      90       8
     606    0.79      90       8
     607    0.79      90       8
     608    0.00      90       8
     609    0.78      90       8
     610    0.00      90       8
     611    0.00      90       8
     612    0.72      90       8
     613    0.00      90       8
     614    0.72      90       8
     615    0.00      90       8
     616    0.00      90       8
     617    0.00      90       8
     618    0.72      90       8
     619    0.00      90       8
     620    0.72      90       8
     621    0.00      90       8
