2016a   2021EdsoQueiroz Braco          2,       EngRev,     0.13
JDAY    Cin (mg/L)
----    PO4     CLO     DO
     573    1.96       1       5
     574    4.17       1       5
     575    0.00       1       5
     576    4.17       1       5
     577    4.17       1       5
     578    4.17       1       5
     579    3.70       1       5
     580    3.70       1       5
     581    0.00       1       5
     582    0.00       1       5
     583    0.00       1       5
     584    0.00       1       5
     585    0.00       1       5
     586    0.00       1       5
     587    0.00       1       5
     588    0.00       1       5
     589    0.00       1       5
     590    0.00       1       5
     591    0.00       1       5
     592    0.00       1       5
     593    0.00       1       5
     594    0.00       1       5
     595    0.00       1       5
     596    0.00       1       5
     597    0.00       1       5
     598    0.00       1       5
     599    0.00       1       5
     600    0.00       1       5
     601    3.57       1       5
     602    0.00       1       5
     603    4.04       1       5
     604    4.04       1       5
     605    0.00       1       5
     606    4.04       1       5
     607    4.04       1       5
     608    0.00       1       5
     609    4.01       1       5
     610    0.00       1       5
     611    0.00       1       5
     612    3.65       1       5
     613    0.00       1       5
     614    3.65       1       5
     615    0.00       1       5
     616    0.00       1       5
     617    0.00       1       5
     618    3.65       1       5
     619    0.00       1       5
     620    3.65       1       5
     621    0.00       1       5
     622    0.00       1       5
     623    0.00       1       5
     624    7.40       1       5
     625    0.00       1       5
     626    7.40       1       5
     627    0.00       1       5
     628    0.00       1       5
     629   30.48       1       5
     630   28.36       1       5
     631   28.36       1       5
     632    0.00       1       5
     633    3.20       1       5
     634   26.53       1       5
     635    0.00       1       5
     636    0.00       1       5
     637    0.00       1       5
     638    0.00       1       5
     639    0.00       1       5
     640    0.00       1       5
     641    0.00       1       5
     642    0.00       1       5
     643    0.00       1       5
     644    0.00       1       5
     645    0.00       1       5
     646    0.00       1       5
     647    0.00       1       5
     648    0.00       1       5
     649    0.00       1       5
     650    3.48       1       5
     651    0.00       1       5
     652    0.00       1       5
     653    0.00       1       5
     654    0.00       1       5
     655    0.00       1       5
     656    7.40       1       5
     657    7.40       1       5
     658    7.40       1       5
     659    8.93       1       5
     660    8.93       1       5
     661    8.93       1       5
     662    8.93       1       5
     663    0.00       1       5
     664    8.93       1       5
     665    8.93       1       5
     666    0.00       1       5
     667    8.77       1       5
     668    8.77       1       5
     669    7.76       1       5
     670    7.76       1       5
     671    7.89       1       5
     672    7.89       1       5
     673    0.00       1       5
     674    7.89       1       5
     675    0.00       1       5
     676    7.89       1       5
     677    7.89       1       5
     678    0.00       1       5
     679    0.00       1       5
     680    7.89       1       5
     681    7.89       1       5
     682    7.89       1       5
     683    7.89       1       5
     684    7.89       1       5
     685    7.89       1       5
     686    7.89       1       5
     687    7.89       1       5
     688    7.89       1       5
     689    0.00       1       5
     690    7.89       1       5
     691    7.76       1       5
     692    7.76       1       5
     693    7.76       1       5
     694    0.00       1       5
     695    7.76       1       5
     696    7.76       1       5
     697    7.76       1       5
     698    7.76       1       5
     699    0.00       1       5
     700    7.76       1       5
     701    8.45       1       5
     702    0.00       1       5
     703    0.00       1       5
     704    8.45       1       5
     705    8.45       1       5
     706    8.45       1       5
     707    8.45       1       5
     708    8.45       1       5
     709    8.45       1       5
     710    8.45       1       5
     711    8.45       1       5
     712    8.45       1       5
     713    8.45       1       5
     714    0.00       1       5
     715    8.45       1       5
     716    0.00       1       5
     717    8.45       1       5
     718    8.45       1       5
     719    8.45       1       5
     720    8.45       1       5
     721    8.30       1       5
     722    8.30       1       5
     723    8.30       1       5
     724    8.30       1       5
     725    8.30       1       5
     726    8.30       1       5
     727    8.30       1       5
     728    8.30       1       5
     729    8.30       1       5
     730    8.30       1       5
     731    8.30       1       5
     732   11.95       1       5
     733   11.95       1       5
     734   11.95       1       5
     735   11.95       1       5
     736    0.00       1       5
     737   11.64       1       5
     738   11.64       1       5
     739   11.64       1       5
     740    0.00       1       5
     741   11.64       1       5
     742   11.64       1       5
     743   11.64       1       5
     744   11.64       1       5
     745   11.64       1       5
     746   11.64       1       5
     747    0.00       1       5
     748   11.64       1       5
     749   11.35       1       5
     750   11.35       1       5
     751    0.00       1       5
     752   11.35       1       5
     753    3.20       1       5
     754   11.35       1       5
     755   11.35       1       5
     756   11.35       1       5
     757   11.35       1       5
     758    1.15       1       5
     759    3.20       1       5
     760   11.35       1       5
     761   11.35       1       5
     762   11.35       1       5
     763    0.00       1       5
     764    0.00       1       5
     765    0.00       1       5
     766    0.00       1       5
     767    0.00       1       5
     768    0.00       1       5
     769    2.43       1       5
     770    4.94       1       5
     771    0.00       1       5
     772    0.00       1       5
     773    4.94       1       5
     774    2.43       1       5
     775    2.43       1       5
     776    0.90       1       5
     777    4.89       1       5
     778    4.89       1       5
     779    0.00       1       5
     780    0.35       1       5
     781    2.38       1       5
     782    4.85       1       5
     783    4.85       1       5
     784    0.31       1       5
     785    1.21       1       5
     786    1.57       1       5
     787    4.76       1       5
     788    2.31       1       5
     789    0.00       1       5
     790    0.00       1       5
     791    5.61       1       5
     792    5.61       1       5
     793    5.61       1       5
     794    5.61       1       5
     795    0.00       1       5
     796    5.61       1       5
     797    0.00       1       5
     798    5.61       1       5
     799    0.00       1       5
     800    5.61       1       5
     801    0.00       1       5
     802    1.65       1       5
     803    0.00       1       5
     804    5.61       1       5
     805    5.61       1       5
     806    5.61       1       5
     807    0.00       1       5
     808    1.25       1       5
     809    5.61       1       5
     810    0.00       1       5
     811    5.61       1       5
     812    0.00       1       5
     813    5.61       1       5
     814    0.00       1       5
     815    0.00       1       5
     816    1.65       1       5
     817    5.61       1       5
     818    5.61       1       5
     819    5.61       1       5
     820    2.48       1       5
     821    5.61       1       5
     822    1.63       1       5
     823    5.43       1       5
     824    0.00       1       5
     825    0.54       1       5
     826    1.01       1       5
     827    0.75       1       5
     828    1.22       1       5
     829    0.85       1       5
     830    0.47       1       5
     831    0.28       1       5
     832    0.32       1       5
     833    0.32       1       5
     834    0.57       1       5
     835    0.71       1       5
     836    0.70       1       5
     837    0.29       1       5
     838    0.28       1       5
     839    0.49       1       5
     840    0.78       1       5
     841    1.26       1       5
     842    1.26       1       5
     843    1.93       1       5
     844    1.92       1       5
     845    1.25       1       5
     846    4.80       1       5
     847    1.92       1       5
     848    4.80       1       5
     849    0.00       1       5
