2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
 1326.00 0.00032   1e-08     7.9
 1327.00 0.00033 1.1e-08     7.9
 1328.00 0.00034 1.3e-08     7.9
 1329.00 0.00036 1.4e-08     7.8
 1330.00 0.00037 1.6e-08     7.9
 1331.00 0.00038 1.7e-08     7.9
 1332.00   4e-04 1.9e-08     7.8
 1333.00 0.00042 2.1e-08     7.9
 1334.00 0.00043 2.3e-08     7.9
 1335.00 0.00045 2.6e-08     7.8
 1336.00 0.00047 2.4e-08     7.8
 1337.00 0.00048 2.7e-08     7.7
 1338.00   5e-04   3e-08     7.8
 1339.00 0.00052 3.4e-08     7.7
 1340.00 0.00054 3.3e-08     7.7
 1341.00 0.00056 3.7e-08     7.6
 1342.00 0.00058 3.7e-08     7.5
 1343.00 0.00061 4.2e-08     7.6
 1344.00 0.00063 4.7e-08     7.5
 1345.00 0.00065   5e-08     7.4
 1346.00 0.00068 5.7e-08     7.5
 1347.00   7e-04 6.4e-08     7.4
 1348.00 0.00073 7.2e-08     7.5
 1349.00 0.00076 8.1e-08     7.5
 1350.00 0.00079 9.2e-08     7.4
 1351.00 0.00082   1e-07     7.4
 1352.00 0.00085   1e-07     7.1
 1353.00 0.00088 1.1e-07     7.2
 1354.00 0.00091 8.6e-08     6.2
 1355.00 0.00095 3.2e-08       5
 1356.00 0.00098 3.6e-08     5.2
 1357.00   0.001 3.9e-08     5.2
 1358.00  0.0011 4.3e-08     5.2
 1359.00  0.0011 4.8e-08     5.1
 1360.00  0.0011 5.3e-08     5.2
 1361.00  0.0012 3.7e-08     4.6
 1362.00  0.0012 4.1e-08     4.8
 1363.00  0.0013 4.6e-08     4.8
 1364.00  0.0013 5.1e-08     4.8
 1365.00  0.0014 5.7e-08     4.8
 1366.00  0.0014 5.8e-08     4.7
 1367.00  0.0015 6.4e-08     4.7
 1368.00  0.0015 7.2e-08     4.7
 1369.00  0.0016 5.8e-08     4.4
 1370.00  0.0016 5.9e-08     4.3
 1371.00  0.0017 6.6e-08     4.3
 1372.00  0.0017 2.2e-08     3.2
 1373.00  0.0018 2.4e-08     3.2
 1374.00  0.0019 2.7e-08     3.2
 1375.00  0.0019 2.9e-08     3.3
 1376.00   0.002 3.2e-08     3.3
 1377.00  0.0021 3.6e-08     3.3
 1378.00  0.0021 3.9e-08     3.3
 1379.00  0.0022 4.3e-08     3.3
 1380.00  0.0023 4.7e-08     3.3
 1381.00  0.0024 5.2e-08     3.3
 1382.00  0.0024 5.7e-08     3.3
 1383.00  0.0025 6.3e-08     3.4
 1384.00  0.0026 6.9e-08     3.4
 1385.00  0.0027 7.5e-08     3.3
 1386.00  0.0028 8.3e-08     3.4
 1387.00  0.0029 9.1e-08     3.4
 1388.00   0.003   1e-07     3.4
 1389.00  0.0031 1.1e-07     3.4
 1390.00  0.0032 8.2e-08     2.7
 1391.00  0.0033   9e-08     2.7
 1392.00  0.0034 9.8e-08     2.7
 1393.00  0.0035 1.1e-07     2.7
 1394.00  0.0036 1.2e-07     2.7
 1395.00  0.0038 5.2e-08     1.2
 1396.00  0.0039 5.7e-08     1.2
 1397.00   0.004       0       0
 1398.00  0.0041       0       0
 1399.00  0.0043       0       0
 1400.00  0.0044       0       0
 1401.00  0.0046       0       0
 1402.00  0.0047       0       0
 1403.00  0.0049       0       0
 1404.00   0.005       0       0
 1405.00  0.0052       0       0
 1406.00  0.0053       0       0
 1407.00  0.0055       0       0
 1408.00  0.0057       0       0
 1409.00  0.0058       0       0
 1410.00   0.006       0       0
 1411.00  0.0062       0       0
 1412.00  0.0064       0       0
 1413.00  0.0066       0       0
 1414.00  0.0068       0       0
 1415.00   0.007       0       0
 1416.00  0.0072       0       0
 1417.00  0.0074       0       0
 1418.00  0.0077       0       0
 1419.00  0.0079       0       0
 1420.00  0.0081       0       0
 1421.00  0.0084       0       0
 1422.00  0.0086       0       0
 1423.00  0.0089       0       0
 1424.00  0.0091       0       0
 1425.00  0.0094       0       0
 1426.00  0.0097       0       0
 1427.00  0.0099       0       0
 1428.00    0.01       0       0
 1429.00   0.011       0       0
 1430.00   0.011       0       0
 1431.00   0.011       0       0
 1432.00   0.011       0       0
 1433.00   0.012       0       0
 1434.00   0.012       0       0
 1435.00   0.012       0       0
 1436.00   0.013       0       0
 1437.00   0.013       0       0
 1438.00   0.013       0       0
 1439.00   0.014       0       0
 1440.00   0.014       0       0
 1441.00   0.015       0       0
 1442.00   0.015       0       0
 1443.00   0.015       0       0
 1444.00   0.016       0       0
 1445.00   0.016       0       0
 1446.00   0.017       0       0
 1447.00   0.017       0       0
 1448.00   0.017       0       0
 1449.00   0.018       0       0
 1450.00   0.018       0       0
 1451.00   0.019       0       0
 1452.00   0.019       0       0
 1453.00    0.02       0       0
 1454.00    0.02       0       0
 1455.00   0.021       0       0
 1456.00   0.023       0       0
 1457.00   0.023       0       0
 1458.00   0.024       0       0
 1459.00   0.024       0       0
 1460.00   0.025       0       0
 1461.00 1.6e-07 4.7e-12     8.1
 1462.00 3.9e-07 1.2e-11     7.9
 1463.00 9.3e-07 2.1e-11       8
 1464.00   2e-06 4.8e-11     7.8
 1465.00 3.7e-06 6.6e-11     7.8
 1466.00 6.1e-06 1.1e-10     7.9
 1467.00   9e-06 1.7e-10     7.8
 1468.00  0.0032     1.1       7
 1469.00 0.00018    0.13     7.9
 1470.00 1.2e-07 2.9e-11       8
 1471.00 2.6e-07 4.4e-13       8
 1472.00 5.2e-07 9.1e-13       8
 1473.00   9e-07 1.6e-12     7.9
 1474.00 1.4e-06 2.7e-12     7.9
 1475.00   2e-06 3.9e-12     7.9
 1476.00 2.6e-06 5.4e-12       8
 1477.00 3.3e-06 7.3e-12       8
 1478.00   4e-06   1e-11       8
 1479.00 4.7e-06 2.1e-11     7.8
 1480.00 5.5e-06 9.8e-11     7.8
 1481.00 6.4e-06 1.7e-11     7.9
 1482.00 7.2e-06   2e-11     7.9
 1483.00 8.1e-06 2.3e-11     7.9
 1484.00 8.9e-06 2.7e-11     7.9
 1485.00 9.8e-06 3.1e-11     7.9
 1486.00 1.1e-05 3.6e-11     7.9
 1487.00 1.2e-05 4.1e-11       8
 1488.00 1.3e-05 4.7e-11       8
 1489.00   0.028     2.5     4.2
 1490.00 2.4e-06   1e-05       8
 1491.00 1.3e-07 6.5e-14       8
 1492.00   0.012     2.6     5.6
 1493.00 7.3e-07 7.2e-07     8.1
 1494.00   0.017     2.7       5
 1495.00 1.3e-06   2e-06       8
 1496.00 1.6e-07 3.1e-14       8
 1497.00   3e-07 6.1e-14     8.2
 1498.00 4.9e-07   1e-13     8.1
 1499.00 7.2e-07 1.6e-13     8.1
 1500.00 9.7e-07 2.3e-13       8
 1501.00 2.5e-07 5.7e-14       8
 1502.00 5.2e-07 1.2e-13     8.2
 1503.00 9.2e-07 2.3e-13       8
 1504.00 1.4e-06 3.6e-13       8
 1505.00  0.0016    0.86     7.3
 1506.00 2.7e-07 7.5e-10       8
 1507.00 4.5e-07   1e-13       8
 1508.00 8.2e-07   2e-13     8.1
 1509.00 1.3e-06 3.3e-13     8.1
 1510.00 1.8e-06 4.8e-13     8.1
 1511.00   0.032     4.5     3.5
 1512.00 5.3e-06   4e-05     8.1
 1513.00 1.2e-07 2.1e-14     8.1
 1514.00 2.4e-07 3.5e-14     8.1
 1515.00 0.00019   0.095     7.9
 1516.00 3.5e-07 4.5e-13       8
 1517.00 6.1e-07 9.8e-14       8
 1518.00 9.2e-07 1.5e-13     8.2
 1519.00  0.0014    0.63     7.2
 1520.00 3.3e-07 1.9e-10     8.1
 1521.00 5.9e-07 9.8e-14       8
 1522.00 9.9e-07 1.7e-13     7.9
 1523.00 1.4e-06 2.6e-13     8.1
 1524.00 3.5e-07 6.4e-14       8
 1525.00 7.3e-07 1.4e-13     7.9
 1526.00 1.3e-06 2.6e-13     7.9
 1527.00   3e-07   6e-14     7.9
 1528.00 5.4e-05    0.02     7.9
 1529.00 4.2e-07 1.2e-13       8
 1530.00 8.5e-07 1.8e-13     7.9
 1531.00 1.4e-06 3.2e-13     7.9
 1532.00 2.1e-06 4.9e-13     8.1
 1533.00   0.022     3.5     4.3
 1534.00   2e-06 3.9e-06     8.1
 1535.00 0.00056    0.29     7.7
 1536.00   0.004     1.8     6.4
 1537.00  0.0018    0.97     8.2
 1538.00 3.1e-07 8.2e-10     8.1
 1539.00 4.8e-07 7.4e-14     7.9
 1540.00 5.3e-05  0.0095     7.9
 1541.00   0.019     4.2       4
 1542.00 1.6e-06 2.7e-06     8.1
 1543.00 2.9e-07 4.1e-14       8
 1544.00 5.4e-07 8.1e-14       8
 1545.00 8.8e-07 1.4e-13     8.1
 1546.00   0.033     4.8     3.5
 1547.00   0.011     2.3     8.5
 1548.00 8.4e-07   7e-07     8.2
 1549.00 1.7e-07 1.8e-14     7.9
 1550.00 3.2e-07 3.5e-14     7.9
 1551.00 5.2e-07   6e-14     7.7
 1552.00 7.6e-07 9.2e-14     7.7
 1553.00  0.0018    0.76     7.4
 1554.00 4.3e-07 8.5e-10     8.1
 1555.00 6.4e-07 8.1e-14     8.2
 1556.00   0.002     0.7     7.6
 1557.00   0.011     2.4     5.4
 1558.00 7.2e-07 2.6e-07       8
 1559.00 3.6e-07 4.3e-14     8.2
 1560.00 6.5e-07   8e-14     8.2
 1561.00   1e-06 1.3e-13     8.3
 1562.00 1.4e-06 1.8e-13     8.3
 1563.00 1.7e-06 2.4e-13     8.4
 1564.00   2e-06 3.3e-13     8.5
 1565.00 2.3e-06 5.9e-13     8.2
 1566.00 2.6e-07   4e-14     8.7
 1567.00 5.8e-07 9.4e-14     8.2
 1568.00 1.1e-06 1.9e-13     8.5
 1569.00 1.8e-06 3.2e-13     8.2
 1570.00 2.5e-06 4.6e-13     7.9
 1571.00 2.8e-07   5e-14     8.3
 1572.00 6.3e-07 1.2e-13     7.8
 1573.00   0.022     3.3     4.9
 1574.00   0.025     3.7     4.7
 1575.00   0.028     3.6     4.3
 1576.00   0.021     1.9     8.2
 1577.00  0.0047    0.35     7.4
 1578.00   0.023     2.2     4.8
 1579.00   0.012     1.1     8.3
 1580.00 9.5e-07   2e-07     8.1
 1581.00 1.8e-07 1.4e-14     8.4
 1582.00 3.2e-07 2.5e-14     8.3
 1583.00 4.8e-07 3.9e-14       8
 1584.00 6.7e-07 5.7e-14       8
 1585.00 8.6e-07 7.6e-14     8.1
 1586.00 1.1e-06   1e-13     8.1
 1587.00 1.2e-06 1.6e-13     8.2
 1588.00 1.4e-06   5e-13     8.1
 1589.00 1.7e-06 3.2e-12     8.2
 1590.00 1.9e-06 2.5e-11     8.1
 1591.00 2.1e-06 2.4e-13     7.8
 1592.00 2.3e-06 2.8e-13       8
 1593.00 2.5e-06 3.2e-13     8.1
 1594.00 2.7e-06 3.6e-13     8.2
 1595.00 2.9e-06 4.1e-13     8.2
 1596.00 3.1e-06 4.7e-13     8.1
 1597.00 3.3e-06 5.4e-13     7.9
 1598.00 1.3e-05 0.00072       8
 1599.00 2.5e-07 4.2e-14     7.9
 1600.00 5.5e-07 8.1e-14     7.8
 1601.00   1e-06 1.6e-13     8.1
 1602.00 8.7e-07 7.8e-06     8.4
 1603.00 2.7e-07   4e-14     8.3
 1604.00 5.8e-07 8.9e-14     8.1
 1605.00 1.4e-07 2.1e-14     8.2
 1606.00 3.3e-07   5e-14     7.7
 1607.00 6.8e-07 1.1e-13     7.9
 1608.00 1.2e-06   2e-13     7.8
 1609.00 1.8e-06 3.1e-13     7.6
 1610.00 2.4e-06 4.3e-13       8
 1611.00 2.9e-06 5.7e-13       8
 1612.00 3.4e-06 8.3e-13       8
 1613.00 2.9e-07 5.7e-14     8.1
 1614.00 6.7e-07 1.4e-13     7.8
 1615.00 1.3e-06 2.9e-13     8.1
 1616.00 2.3e-06 5.1e-13     8.1
 1617.00 3.2e-06 7.7e-13     8.3
 1618.00 4.1e-06   1e-12     8.4
 1619.00 4.8e-06 1.4e-12     8.2
 1620.00 5.4e-06 2.5e-12     8.2
 1621.00 5.9e-06   1e-11     8.2
 1622.00 6.4e-06   7e-11     8.3
 1623.00 6.9e-06   1e-10     8.3
 1624.00 7.4e-06 2.5e-12     8.2
 1625.00 7.9e-06   3e-12     8.1
 1626.00 8.4e-06 3.6e-12     8.2
 1627.00 8.9e-06 4.7e-12     8.3
 1628.00 9.4e-06 6.7e-12     8.2
 1629.00 9.9e-06 1.1e-11     8.2
 1630.00   1e-05 1.9e-11     8.1
 1631.00 1.1e-05 3.8e-11     8.1
 1632.00 1.2e-05 7.8e-11     7.9
 1633.00 1.2e-05 1.7e-10     7.9
 1634.00 1.3e-05 2.9e-10       8
 1635.00 1.3e-05   1e-11     8.1
 1636.00 1.4e-05 1.3e-11     8.1
 1637.00 1.5e-05 1.9e-11     8.2
 1638.00 1.6e-05 2.9e-11     8.2
 1639.00 1.6e-05 4.7e-11     8.3
 1640.00 1.7e-05   8e-11     8.2
 1641.00 1.8e-05 1.5e-11     8.3
 1642.00 1.9e-05 1.7e-11     8.3
 1643.00 1.5e-07 2.7e-11     8.5
 1644.00 2.7e-07 1.5e-13     8.2
 1645.00 6.3e-07 3.8e-13       8
 1646.00 1.3e-06 8.2e-13     7.9
 1647.00 2.4e-06 1.5e-12       8
 1648.00 3.7e-06 2.5e-12     8.2
 1649.00 5.1e-06 3.7e-12     8.2
 1650.00 6.6e-06 5.1e-12     8.1
 1651.00   8e-06 7.7e-12     8.2
 1652.00 9.3e-06   2e-11     8.2
 1653.00 1.1e-05 1.1e-10     8.2
 1654.00 1.2e-05   2e-10     8.4
 1655.00 1.3e-05 1.3e-11     8.4
 1656.00 1.5e-05 1.5e-11     8.2
 1657.00 1.6e-05 1.7e-11     8.3
 1658.00 1.7e-05 1.9e-11     8.2
 1659.00 1.9e-05 2.3e-11     8.1
 1660.00   2e-05 2.7e-11     8.1
 1661.00 2.1e-05 3.5e-11     8.2
 1662.00 2.2e-05 4.7e-11     8.1
 1663.00 2.4e-05 7.3e-11     8.1
 1664.00 2.5e-05 1.3e-10     8.4
 1665.00 2.7e-05 2.4e-10     8.5
 1666.00 2.8e-05 4.9e-10     8.5
 1667.00   3e-05 5.4e-11     8.2
 1668.00 3.1e-05 6.3e-11     8.2
 1669.00 3.3e-05 7.5e-11     8.1
 1670.00 3.5e-05 9.4e-11     8.2
 1671.00 3.6e-05 1.2e-10     8.2
 1672.00 3.8e-05 1.8e-10     8.2
 1673.00   4e-05 2.7e-10     8.3
 1674.00 4.2e-05 1.1e-10     8.3
 1675.00 4.4e-05 1.2e-10     8.2
 1676.00 4.6e-05 1.4e-10     8.1
 1677.00 4.8e-05 1.5e-10     8.2
 1678.00 5.1e-05 1.8e-10     8.1
 1679.00 5.3e-05   2e-10       8
 1680.00 5.6e-05 2.4e-10       8
 1681.00 5.8e-05 2.8e-10     7.9
 1682.00 6.1e-05 3.3e-10       8
 1683.00 6.3e-05   4e-10     8.1
 1684.00 6.6e-05 4.9e-10     8.2
 1685.00 6.9e-05 6.2e-10     8.2
 1686.00 7.2e-05 7.8e-10     8.2
 1687.00 7.6e-05   4e-10     8.3
 1688.00 7.9e-05 4.6e-10     8.3
 1689.00 8.2e-05 5.2e-10     8.2
 1690.00 8.6e-05 5.9e-10     8.1
 1691.00   9e-05 6.9e-10     8.1
 1692.00 9.4e-05 7.9e-10     8.2
 1693.00 9.8e-05 9.3e-10     8.2
 1694.00   1e-04 1.1e-09     8.1
 1695.00 0.00011 1.3e-09     8.1
 1696.00 0.00011 1.5e-09     8.1
 1697.00 0.00012 1.8e-09     8.2
 1698.00 0.00012 2.2e-09     8.1
 1699.00 0.00013 2.7e-09     8.1
 1700.00 0.00013 3.3e-09     8.1
 1701.00 0.00014 4.1e-09     8.1
 1702.00 0.00014 5.1e-09     8.2
 1703.00 0.00015 1.5e-09       8
 1704.00 0.00015 1.7e-09       8
 1705.00 0.00016 1.8e-09     7.8
 1706.00 0.00017   2e-09     7.7
 1707.00 0.00017 2.2e-09     7.9
 1708.00 0.00018 2.5e-09     7.8
 1709.00 0.00019 2.7e-09       8
 1710.00   2e-04   3e-09     7.9
 1711.00   2e-04 3.3e-09       8
 1712.00 0.00021 3.6e-09     7.8
 1713.00 0.00022   4e-09       8
 1714.00 0.00023 4.4e-09       8
 1715.00 0.00024 4.9e-09     8.1
 1716.00 0.00025 5.4e-09     8.1
 1717.00 0.00026 5.9e-09     8.1
 1718.00 0.00027 6.5e-09     7.9
 1719.00 0.00028 7.2e-09       8
 1720.00 0.00029   8e-09       8
 1721.00   3e-04 8.8e-09       8
 1722.00 0.00032 9.8e-09       8
 1723.00 0.00033 1.1e-08     7.9
 1724.00 0.00034 1.2e-08     7.9
 1725.00 0.00035 1.3e-08       8
 1726.00 0.00037 1.5e-08     7.9
 1727.00 0.00038 1.6e-08       8
 1728.00   4e-04 1.8e-08       8
 1729.00 0.00041   2e-08       8
 1730.00 0.00043 2.2e-08     7.9
 1731.00 0.00045 2.5e-08     7.9
 1732.00 0.00046 2.3e-08     7.9
 1733.00 0.00048 2.6e-08     7.8
 1734.00   5e-04 2.9e-08     7.9
 1735.00 0.00052 3.2e-08     7.8
 1736.00 0.00054 3.6e-08     7.8
 1737.00 0.00056 3.6e-08     7.7
 1738.00 0.00058   4e-08     7.8
 1739.00   6e-04 4.5e-08     7.7
 1740.00 0.00063 4.5e-08     7.6
 1741.00 0.00065 5.1e-08     7.5
 1742.00 0.00068 5.7e-08     7.3
 1743.00   7e-04 6.5e-08     7.3
 1744.00 0.00073 7.3e-08     7.5
 1745.00 0.00076 7.9e-08     7.4
 1746.00 0.00078   9e-08     7.5
 1747.00 0.00081   1e-07     7.5
 1748.00 0.00084 9.8e-08     7.2
 1749.00 0.00087 1.1e-07     7.2
 1750.00 0.00091 8.1e-08     6.4
 1751.00 0.00094 2.8e-08     5.2
 1752.00 0.00098 3.1e-08     5.2
 1753.00   0.001 3.5e-08     5.1
 1754.00   0.001 3.8e-08     5.3
 1755.00  0.0011 4.2e-08     5.2
 1756.00  0.0011 4.7e-08     5.3
 1757.00  0.0012 5.2e-08     5.3
 1758.00  0.0012 5.7e-08     5.3
 1759.00  0.0013 6.3e-08     5.3
 1760.00  0.0013   7e-08     5.2
 1761.00  0.0013 7.8e-08     5.2
 1762.00  0.0014   8e-08     5.2
 1763.00  0.0014 6.2e-08     4.8
 1764.00  0.0015   7e-08     4.8
 1765.00  0.0015 6.6e-08     4.5
 1766.00  0.0016 7.3e-08     4.6
 1767.00  0.0017 8.1e-08     4.5
 1768.00  0.0017 2.2e-08     3.2
 1769.00  0.0018 2.4e-08     3.2
 1770.00  0.0018 2.7e-08     3.3
 1771.00  0.0019 2.9e-08     3.2
 1772.00   0.002 3.2e-08     3.3
 1773.00   0.002 3.5e-08     3.3
 1774.00  0.0021 3.9e-08     3.3
 1775.00  0.0022 4.3e-08     3.3
 1776.00  0.0023 4.7e-08     3.3
 1777.00  0.0023 5.2e-08     3.4
 1778.00  0.0024 5.7e-08     3.4
 1779.00  0.0025 6.2e-08     3.4
 1780.00  0.0026 6.8e-08     3.4
 1781.00  0.0027 7.5e-08     3.5
 1782.00  0.0028 8.2e-08     3.4
 1783.00  0.0029 9.1e-08     3.3
 1784.00   0.003 9.9e-08     3.3
 1785.00  0.0031 1.1e-07     3.4
 1786.00  0.0032 1.2e-07     3.4
 1787.00  0.0033 1.3e-07     3.4
 1788.00  0.0034 1.4e-07     3.5
 1789.00  0.0035 1.1e-07     2.7
 1790.00  0.0036   5e-08     1.2
 1791.00  0.0037 5.5e-08     1.2
 1792.00  0.0038       0       0
 1793.00   0.004       0       0
 1794.00  0.0041       0       0
 1795.00  0.0042       0       0
 1796.00  0.0044       0       0
 1797.00  0.0045       0       0
 1798.00  0.0046       0       0
 1799.00  0.0048       0       0
 1800.00  0.0049       0       0
 1801.00  0.0051       0       0
 1802.00  0.0053       0       0
 1803.00  0.0054       0       0
 1804.00  0.0056       0       0
 1805.00  0.0058       0       0
 1806.00  0.0059       0       0
 1807.00  0.0061       0       0
 1808.00  0.0063       0       0
 1809.00  0.0065       0       0
 1810.00  0.0067       0       0
 1811.00  0.0069       0       0
 1812.00  0.0071       0       0
 1813.00  0.0073       0       0
 1814.00  0.0075       0       0
 1815.00  0.0078       0       0
 1816.00   0.008       0       0
 1817.00  0.0082       0       0
 1818.00  0.0085       0       0
 1819.00  0.0087       0       0
 1820.00   0.009       0       0
 1821.00  0.0092       0       0
 1822.00  0.0095       0       0
 1823.00  0.0098       0       0
 1824.00    0.01       0       0
 1825.00    0.01       0       0
 1826.00   0.011       0       0
 1827.00   0.011       0       0
