2016 a 2020, Edson Queiroz, Braço 3, Variável PO4 , CHLA, OD - Entrada

    JDAY MINP_IN ALGA_IN DISOX_I
  192.00 7.9e-05 8.2e-10       8
  193.00 8.3e-05 9.2e-10     7.9
  194.00 8.7e-05   1e-09       8
  195.00 9.1e-05 1.2e-09       8
  196.00 9.5e-05 1.3e-09     7.9
  197.00   1e-04 1.5e-09       8
  198.00   1e-04 1.7e-09       8
  199.00 0.00011   2e-09     7.9
  200.00 0.00011 2.3e-09     7.9
  201.00 0.00012 2.7e-09     7.9
  202.00 0.00012 2.3e-09     7.9
  203.00 0.00013 2.6e-09       8
  204.00 0.00014 2.9e-09       8
  205.00 0.00014 3.3e-09       8
  206.00 0.00015 3.8e-09     7.9
  207.00 0.00015 4.3e-09     7.8
  208.00 0.00016   5e-09     7.9
  209.00 0.00017 5.8e-09       8
  210.00 0.00018 6.8e-09       8
  211.00 0.00018 8.1e-09     7.9
  212.00 0.00019 9.6e-09       8
  213.00   2e-04 5.5e-09     7.8
  214.00 0.00021   6e-09     7.9
  215.00 0.00022 6.6e-09     7.8
  216.00 0.00023 7.2e-09     7.8
  217.00 0.00023 7.9e-09     7.8
  218.00 0.00024 8.7e-09     7.8
  219.00 0.00025 9.5e-09     7.9
  220.00 0.00027   1e-08     7.8
  221.00 0.00028 1.1e-08     7.9
  222.00 0.00029 9.8e-09     7.8
  223.00   3e-04 1.1e-08     7.8
  224.00 0.00031 1.2e-08     7.7
  225.00 0.00033   1e-08     7.7
  226.00 0.00034   9e-09     7.6
  227.00 0.00035   1e-08     7.8
  228.00 0.00037 1.1e-08     7.8
  229.00 0.00038 1.2e-08     7.7
  230.00   4e-04 1.4e-08     7.6
  231.00 0.00041 1.5e-08     7.6
  232.00 0.00043 1.7e-08     7.7
  233.00 0.00045 1.9e-08     7.7
  234.00 0.00047 2.1e-08     7.6
  235.00 0.00048 2.3e-08     7.6
  236.00   5e-04 2.4e-08     7.5
  237.00 0.00052 2.7e-08     7.5
  238.00 0.00055   3e-08     7.6
  239.00 0.00057 3.4e-08     7.6
  240.00 0.00059 3.8e-08     7.6
  241.00 0.00061 3.1e-08     7.4
  242.00 0.00064 3.5e-08     7.4
  243.00 0.00066   4e-08     7.4
  244.00 0.00069 4.5e-08     7.2
  245.00 0.00072 5.1e-08     7.2
  246.00 0.00074 5.8e-08     7.2
  247.00 0.00077 6.5e-08     7.3
  248.00   8e-04 7.4e-08     7.2
  249.00 0.00083 8.4e-08     7.2
  250.00 0.00087 9.5e-08     7.2
  251.00   9e-04 1.1e-07     7.2
  252.00 0.00094 1.1e-07       7
  253.00 0.00097 1.1e-07     6.7
  254.00   0.001 7.7e-08     5.8
  255.00   0.001 1.7e-08     4.5
  256.00  0.0011 1.9e-08     4.4
  257.00  0.0011 2.1e-08     4.4
  258.00  0.0012 2.4e-08     4.4
  259.00  0.0012 2.7e-08     4.5
  260.00  0.0013   3e-08     4.5
  261.00  0.0013 3.4e-08     4.4
  262.00  0.0014 3.8e-08     4.5
  263.00  0.0014 4.3e-08     4.5
  264.00  0.0015 4.8e-08     4.6
  265.00  0.0015 5.4e-08     4.5
  266.00  0.0016 6.1e-08     4.4
  267.00  0.0016 6.8e-08     4.6
  268.00  0.0017 7.7e-08     4.6
  269.00  0.0018 7.8e-08     4.4
  270.00  0.0018 8.1e-08     4.3
  271.00  0.0019 8.4e-08     4.1
  272.00   0.002 3.6e-08       3
  273.00   0.002 3.9e-08       3
  274.00  0.0021 4.3e-08       3
  275.00  0.0022 4.8e-08     3.1
  276.00  0.0023 5.2e-08       3
  277.00  0.0023 5.8e-08     3.1
  278.00  0.0024 6.3e-08     3.1
  279.00  0.0025   7e-08     3.1
  280.00  0.0026 7.7e-08     3.1
  281.00  0.0027 8.4e-08     3.1
  282.00  0.0028 9.3e-08     3.2
  283.00  0.0029   1e-07     3.2
  284.00   0.003 1.1e-07     3.2
  285.00  0.0031 1.2e-07     3.2
  286.00  0.0032 1.4e-07     3.2
  287.00  0.0033 1.1e-07     2.4
  288.00  0.0034 4.9e-08     1.1
  289.00  0.0036 5.4e-08     1.1
  290.00  0.0037       0       0
  291.00  0.0038       0       0
